2025-09-27 11:50:40 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:42 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:47 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:49 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:51 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:53 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:55 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:57 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:50:59 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:01 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:03 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:06 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:08 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:10 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:12 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:14 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:18 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:20 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:25 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:27 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:29 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:31 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:33 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:35 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:37 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:39 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:46 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:48 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:52 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:54 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:56 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:51:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:03 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:05 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:07 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:09 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:13 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:15 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:17 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:19 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:24 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:32 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:34 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:36 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:38 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:43 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:45 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:47 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:49 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:51 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:53 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:55 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:52:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:02 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:04 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:06 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:08 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:10 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:12 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:15 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:17 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:19 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-27 11:53:21 - ui.charts_window - INFO - Charts data refreshed from Tree view
