2025-09-26 19:30:51 - root - INFO - Logging to file: G:\My Drive\0dev\Search Utility v3\tender_management_v3\logs\app_20250926_193051.log
2025-09-26 19:30:51 - root - INFO - Application starting...
2025-09-26 19:30:51 - ui.main_window.MainApplication - INFO - Initializing MainApplication...
2025-09-26 19:30:51 - core.config_manager - INFO - Configuration loaded from G:\My Drive\0dev\Search Utility v3\tender_management_v3\config\config.json
2025-09-26 19:30:51 - ui.main_window.MainApplication - INFO - Global configuration loaded successfully
2025-09-26 19:30:51 - ui.main_window.MainApplication - INFO - Window geometry set to 1200x800+168+32
2025-09-26 19:30:52 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-26 19:30:52 - ui.calendar_tab.CalendarTab - INFO - CalendarTab initialized
2025-09-26 19:30:52 - ui.calendar_tab.CalendarTab - INFO - Loaded 12 calendar events from G:\My Drive\0dev\Search Utility v3\tender_management_v3\data\calendar_events.json
2025-09-26 19:30:52 - ui.tender_tasks_tab.TenderTasksTab - INFO - TenderTasksTab initialized (placeholder)
2025-09-26 19:30:52 - ui.settings_tab.SettingsTab - INFO - SettingsTab initialized
2025-09-26 19:30:52 - ui.logs_tab.LogsTab - INFO - Log handler attached to root logger
2025-09-26 19:30:52 - ui.main_window.MainApplication - INFO - All tabs initialized successfully
2025-09-26 19:30:52 - ui.main_window - INFO - Main application initialized
2025-09-26 19:30:52 - root - INFO - Main window initialized
2025-09-26 19:31:06 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: ['Direct URL', 'Status URL']
2025-09-26 19:31:07 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-26 19:31:07 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Live tenders filter: 1375 records closing after 2025-09-26 19:31:07.072527
2025-09-26 19:31:07 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: ['Direct URL', 'Status URL']
2025-09-26 19:31:12 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:14 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:18 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:20 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:24 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:33 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:35 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:37 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:39 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:41 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:43 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:45 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:47 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:49 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:51 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:53 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:55 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:57 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:31:59 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:01 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:03 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:05 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:07 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:09 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:13 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:18 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:20 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:22 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:24 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:26 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:28 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:32 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:34 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:36 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:38 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:40 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:42 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:46 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:48 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:52 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:54 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:56 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:32:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:01 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:03 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:05 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:07 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:09 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:13 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:15 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:17 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:19 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:21 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:23 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:25 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:27 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:29 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:32 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:34 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:36 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:38 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:40 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:42 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:46 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:48 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:52 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:54 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:56 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:33:58 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:34:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:34:02 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:34:05 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:34:07 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:34:09 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:34:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
