2025-09-26 19:14:14 - root - INFO - Logging to file: G:\My Drive\0dev\Search Utility v3\tender_management_v3\logs\app_20250926_191414.log
2025-09-26 19:14:14 - root - INFO - Application starting...
2025-09-26 19:14:14 - ui.main_window.MainApplication - INFO - Initializing MainApplication...
2025-09-26 19:14:14 - core.config_manager - INFO - Configuration loaded from G:\My Drive\0dev\Search Utility v3\tender_management_v3\config\config.json
2025-09-26 19:14:14 - ui.main_window.MainApplication - INFO - Global configuration loaded successfully
2025-09-26 19:14:14 - ui.main_window.MainApplication - INFO - Window geometry set to 1200x800+168+32
2025-09-26 19:14:15 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-26 19:14:15 - ui.calendar_tab.CalendarTab - INFO - CalendarTab initialized
2025-09-26 19:14:15 - ui.calendar_tab.CalendarTab - INFO - Loaded 12 calendar events from G:\My Drive\0dev\Search Utility v3\tender_management_v3\data\calendar_events.json
2025-09-26 19:14:15 - ui.tender_tasks_tab.TenderTasksTab - INFO - TenderTasksTab initialized (placeholder)
2025-09-26 19:14:15 - ui.settings_tab.SettingsTab - INFO - SettingsTab initialized
2025-09-26 19:14:15 - ui.logs_tab.LogsTab - INFO - Log handler attached to root logger
2025-09-26 19:14:15 - ui.main_window.MainApplication - INFO - All tabs initialized successfully
2025-09-26 19:14:15 - ui.main_window - INFO - Main application initialized
2025-09-26 19:14:15 - root - INFO - Main window initialized
2025-09-26 19:14:29 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: ['Direct URL', 'Status URL']
2025-09-26 19:14:29 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Applying status filter: live
2025-09-26 19:14:29 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Live tenders filter: 1375 records closing after 2025-09-26 19:14:29.549605
2025-09-26 19:14:29 - ui.search_dashboard_tab.SearchDashboardTab - INFO - Detected URL columns: ['Direct URL', 'Status URL']
2025-09-26 19:14:39 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:14:44 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:14:49 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:14:55 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:00 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:05 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:10 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:15 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:20 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:25 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:30 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:35 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:40 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:45 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:50 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:15:55 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:16:01 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:16:06 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:16:11 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:16:16 - ui.charts_window - INFO - Charts data refreshed from Tree view
2025-09-26 19:16:21 - ui.charts_window - INFO - Charts data refreshed from Tree view
