2025-09-28 09:25:27 - root - INFO - Logging to file: G:\My Drive\0dev\Search Utility v3\tender_management_v3\logs\app_20250928_092527.log
2025-09-28 09:25:27 - root - INFO - Application starting...
2025-09-28 09:25:27 - ui.main_window.MainApplication - INFO - Initializing MainApplication...
2025-09-28 09:25:27 - core.config_manager - INFO - Configuration loaded from G:\My Drive\0dev\Search Utility v3\tender_management_v3\config\config.json
2025-09-28 09:25:27 - ui.main_window.MainApplication - INFO - Global configuration loaded successfully
2025-09-28 09:25:27 - ui.main_window.MainApplication - INFO - Window geometry set to 1200x800+168+32
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
2025-09-28 09:27:37 - ui.search_dashboard_tab.SearchDashboardTab - ERROR - Error inserting row: 'bool' object has no attribute 'all'
